title,url,content
Airbus A320,https://tt.wikipedia.org/wiki/Airbus_A320,"Airbus A320 (tat. lat. Airbus A320) -   Аурупа Берлегенең «Airbus S.A.S.» концерны тарафыннан ясалган тарфюзеляжлы, якын һәм уртамагистраль, икедвигателле турбовентилятор пассажир очкычының гаиләсе.
2011 елда 6956 данә Airbus A320 очкычының йомышы булды, 4552 сатылган, 4467 файдаланыла. Тулуза һәм Һамбург-Финкенвердер шәһәрләрендә җитештерелә.
Airbus A320 очкычының төп көндәше - Boeing 737 очкычы булып тора.


== Тарих ==


=== Эшкәртү ===
Airbus A300 очкычы уңышыннан соң,  Boeing 727 һәм Boeing 737 иртә вариантларын иң яхшы шул вакытта булган  очкычларын алмаштыру максатыннан Airbus консорциумы яңа очкычны эшкәртә башлый. Шул ук зурлыклы, ләкин экономиялерәк очкычны ясарга ният куелган иде. Яңа цифрлы җайланмалар Boeing 727 , 737 алдыннан өстенлекләрне дә бирер иде.


== Очу-техникалык бәяләмәләре ==


== Тасвирлама ==

Airbus A320 - беркильле каурыйлыклы  уксыман канатлары белән, канат астында урнашкан ике моторлы турбовентилятор түбәнплан очкычы. Airbus А320 очыш ераклыгы - 4900 км кадәр, крейсер тизлеге — 910 км/сәг. Урын саны — 150—179.


== Очкыч төрләре ==


=== A319 ===
А320 модификациясе

А319CJ — бизнес-очкыч
A319LR — Airbus A319 модификациясе


=== A318 ===


=== A321 ===

14.12.2018 елны Уфадан Нижневартовскига рейс башкарган «Airbus A321» самолеты һавага күтәрелгән чакта теркәлгән. Лайнер «Кольцово» аэропортына төшкән..

А 320 гаиләсенең төрләре
		
		
		
		


== Куәт җайланмалары ==
CFMI CFM56-5A/5B,
2 x 11300-12000 кгс
IAE V2500-A5,
2 x 11300-12000 кгс


== Җитештерү һәм файдалану ==


== Төп сатып алучылар ==


== Аварияләр һәм авиаһәлакәтләр ==
2019 елның 15 августына барлыгы һәлакәтләр һәм җитди аварияләр нәтиҗәсендә 42 очкыч Airbus гаиләсенең Airbus A318/319/320/321 югалтылды.
Airbus 318/319/320/321 урларга 16 тапкыр кулланып караган, шул ук вакытта 1 кеше һәлак булган. Бу һәлакәтләрдә барлыгы 1393 кеше һәлак булган.


== Төп файдаланучылар ==


== Шулай ук карагыз ==

Boeing 737
Airbus A380
Boeing 747
Ил-62
Ту-204
Ту-134
Ту-334
Ту-154


== Тышкы сылтамалар ==
Тест-полет Airbus A318 Elite
Сферическая панорама кабины А319-100 ГТК Россия"
Airbus A350 XWB,https://tt.wikipedia.org/wiki/Airbus_A350_XWB,"Airbus A350 XWB (ингл. Extra Wide Body —  Аурупа Берлегенең «Airbus S.A.S.» концерны тарафыннан ясалган юлчылар очкычы.


== Тарих ==
22.03.2007. Русиянең Aэрофлот ширкәте 22 Аэробус А-350 юлчылар очкычы алачагын белдерде. Aэрофлот бүген Мәскәүдә Аурупаның очкыч ясау ширкәте белән шул турыда ният килешүе имзалады. Ул очкычлар 2014-2017 елларда тапшырылырга тиеш. Килешү Русиянең искереп баручы юлчылар очкычлары тупланмасын яңартырга ярдәм итәчәк. Җитештерү кичегүләр һәм финанс кризисы сәбәпле Аэробус Европада 10 мең хезмәткәрен эштән чыгарачагын белдергән иде.14.06.2013. Аурупаның Airbus һава ширкәте ясаган А350 юлчылык очкычы бүген беренче сынау очышына күтәрелде. Яңа очкычның беренче мәртәбә күтәрелүен Тулуздагы очкычлар ясау ширкәтенең йөзләрчә эшчесе, журналистлар һәм җирле халык күзәтте.
Европаның А350 очкычы американнар ясаган Boeing 787 Dreamliner очкычының көндәше булачак. Урта зурлыктагы бу очкычлар җиңелрәк материалдан ясала, ягулыкны азрак яндыра 270-350 кеше сыйдыра һәм 15 мең чакрымга оча.
А350 юлчыларны киләсе елдан ташый башлаячак.


== Модификациялар ==


== Искәрмәләр ==


== Сылтамалар =="
Airbus A380,https://tt.wikipedia.org/wiki/Airbus_A380,"Airbus A380 (tat. lat. Airbus A380) -   Аурупа Берлегенең «Airbus S.A.S.» концерны тарафыннан ясалган киңфюзеляжлы, икепалублы, дүртдвигателле турбореактив пассажир очкычы.
Airbus А380 — дөньяның иң зур серияле очкычы (биеклеге 24,08 м, озынлыгы 72,75/80,65 м, канат киңлеге 79,75 м). Пассажир сыйдырышлыгы - 525 кеше өч сыйфатлы салоннарда, 853 кеше - бер сыйфатлы салонда. Утыртусыз очыш ераклыгы - 15400 км.


== Очу-техникалык бәяләмәләре ==


== Тасвирлама ==

Airbus A380 - беркильле каурыйлыклы  уксыман канатлары белән, дүрт моторлы турбореактив түбәнплан очкычы. Airbus A380 - иң отышлы зур очкычы, бер кешедә, 100 километрда 3 литр ягулыкны гына тотыла.
Киләчәк А380-900 очкыч төре 656 (960 эконом-класс) кеше сыйдырачак.


== Очкыч төрләре ==
А 380 төрле авиаширкәтләре
		
		
		
		
		


== Куәт җайланмалары ==
4 x GP7270 (A380-871)
GP7272(A380-862)
Trent 970, Trent 970B (A380-841,842,)
Trent 972, Trent 972B (A380-842)
4 x 311 кН
Engine Alliance GP7000|GP7270 (A380-861)
GP7272(A380-862)
Trent 970, Trent 970B (A380-841)
Trent 972, Trent 972B (A380-842)
4 x 340 кН
GP7277 (A380-863F)
GP7281 (A380-864F)
Trent 977, Trent 977B (A380-843F)


== Җитештерү һәм файдалану ==


== Файдаланучылар ==


== Шулай ук карагыз ==

Boeing 747
Ил-62
Ту-204
Ту-334
Ту-154


== Искәрмәләр ==


== Тышкы сылтамалар ==
Official Airbus A380 page"
F-22 Raptor,https://tt.wikipedia.org/wiki/F-22_Raptor,"F-22 «Раптор» (ингл. F-22 Raptor) — Американың күп максатлы бишенче буын истребителе, Lockheed Martin, Boeing һәм дә General Dynamics ширкәтләре F-15 Eagle-ны алыштыру максатыннан уйлап тапкан.. Бүгенге көндә, F-22 корал булып кулланылучы бердән бер бишенче буын истрибителе һәм иң кыйммәтле истребитель булып тора.


== Искәрмәләр =="
Lockheed C-130 Hercules,https://tt.wikipedia.org/wiki/Lockheed_C-130_Hercules,"Локхид C-130 Геркулес (ингл. Lockheed C-130 Hercules) — урта һәм зур ераклык өчен уйланылган хәрби йөк очкычы. АКШ һәм НАТО гаскәрләрендә төп очкыч булып санала.


== Тарих ==


== Әдәбият ==
Кедров С. Тот самый ""Геркулес"". История создания и модификаций «Локхид» C-130(рус.) // Крылья Родины. — № 3. — С. 13-16. — ISSN 0130-2701.
О. Пиунов. Самолёты типа С-130 ""Геркулес"" сил специальных операций ВВС США // ""Зарубежное военное обозрение"", № 11, 2011. стр.59-71
О. Пиунов. Самолёты типа С-130 ""Геркулес"" сил специальных операций ВВС США // ""Зарубежное военное обозрение"", № 12, 2011. стр.52-54
Зона аварии норвежского самолёта является заповедной


== Сылтамалар ==
Официальный сайт компании Lockheed Martin
ВВС Новой Зеландии получили первые два модернизированных ВТС C-130H «Геркулес»
Ошибка пилотов привела к авиакатастрофе в Северной Швеции
Зона аварии норвежского самолёта является заповедной"
Lockheed F-104 Starfighter,https://tt.wikipedia.org/wiki/Lockheed_F-104_Starfighter,"Локхид F-104 «Старфайтер» (ингл. Lockheed F-104 Starfighter) — бер яки ике урынлы истребитель, эләктереп алучы истребитель, бомбага тотучы - истребитель. Билгеле кушаматы «Эчендә кеше булган ракета».


== Искәрмәләр =="
Lockheed F-117 Nighthawk,https://tt.wikipedia.org/wiki/Lockheed_F-117_Nighthawk,"Локхид F-117 «Найт Хок» (ингл. Lockheed F-117 Night Hawk) — АКШның бер урынлы, тавыш тизлегенә кадәр очучы тактик штурмовик очкычы.


== Искәрмәләр =="
Lockheed F-80 Shooting Star,https://tt.wikipedia.org/wiki/Lockheed_F-80_Shooting_Star,"Локхид F-80 Шутинг Стар (ингл. Lockheed F-80 Shooting Star) — Американың беренче серияле реактив истребителе.


== Искәрмәләр =="
Lockheed F-94 Starfire,https://tt.wikipedia.org/wiki/Lockheed_F-94_Starfire,"Локхид F-94 «Старфайр» (ингл. Lockheed F-94 Starfire) — АКШ ХҺКның беренче барлык һава торышы шартларына чыдам реактив эләктереп алучы истребитель .


== Искәрмәләр =="
Аву (авиация),https://tt.wikipedia.org/wiki/%D0%90%D0%B2%D1%83_(%D0%B0%D0%B2%D0%B8%D0%B0%D1%86%D0%B8%D1%8F),"Аву авиациядә (tat. lat. Awu, инглизчә Stall , русча Сваливание)  -  күтәрү көче кискен төшүе, очкыч канатын һава агымы белән уратып алып узганда нормаль шартлар бозылу нәтиҗәсендә килеп чыга.
Очкыч канатын һава агымы белән уратып алып узганда нормаль шартлар булганда күтәрү көче очкыч тотрыклы очып йөрү өчен җитәрлек була.
Очкыч канатын һава агымы белән уратып алып узганда нормаль шартлар бозылу нәтиҗәсендә күтәрү көче кискен төшә һәм очкыч агымнан чыга (ава) - тангаж, янтаю почмаклары үзеннән-үзе үзгәрәләр: очкыч борынын күтәрә, төшерә,  янга янтая.
Зур ихтималлык белән аву штопорга кертә ала.


== Аву сәбәпләре ==
һөҗүм почмаклары артыру
очкыч тизлеге төшү
рүл эше
һава агымы тыгызлыгы һәм юнәлеше үзгәреше.


== Борылышта аву ==

Рәсем аңлатмасы.
Көчләр:

Яшел - күтәрү көче
Зәңгәр - авырлык
Кызыл - үзәктән куу көче
шәмәхә - Гомуми көч


== Тирән аву ==

Т-гәүдәле стабилизаторлы очкычларда була (мәсәлән Ту-154).  Биеклек рүлләре канатлар күләгәсендә булганга күрә эштән туктый. Шул торышы тотрыклы булып та, аннан чыгарырга кыен була.


== Сылтамалар ==
Аву тасвиры
Benjamin Gal-Or, ""Vectored Propulsion, Supermaneuverability, and Robot Aircraft"", Springer Verlag, 1990, ISBN 1990, ISBN 0-387-97161-0, ISBN 3-540-97161-0
USAF & NATO Report RTO-TR-015 AC/323/(HFM-015)/TP-1 (2001
Anderson, J.D., A History of Aerodynamics (1997). Cambridge University Press. ISBN 0-521-66955-3 Chapter 4, ""Slow Flight, Stalls, and Spins,"" in the *Airplane Flying Handbook. (FAA H-8083-3A)
Clancy, L.J. (1975), Aerodynamics, Pitman Publishing Limited, London. ISBN 0-273-01120-0
Stengel, R. (2004), Flight Dynamics, Princeton University Press, ISBN 0-691-114-7-2
Alpha Systems AOA Website for information on AOA and Lift Reserve Indicators [1]"
Бомбага тотучы истребитель,https://tt.wikipedia.org/wiki/%D0%91%D0%BE%D0%BC%D0%B1%D0%B0%D0%B3%D0%B0_%D1%82%D0%BE%D1%82%D1%83%D1%87%D1%8B_%D0%B8%D1%81%D1%82%D1%80%D0%B5%D0%B1%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,"Бомбага тотучы истребитель яки бомбага тотучы  бетерүче очкыч - җир өсте һәм су өсте тәмекләрен бетерерлек фронт (тактик) истребителе.
Истребитель һәм фронт бомбага тотучы очкыч сыйфатларына хас була, ""һава-җир"" төрендәге корал куллана ала.
Һөҗүм итүче очкычтан (штурмовиктан) аермалы буларак манёврлы һава һөҗүмен алып бара ала.
Гадәттә һөҗүм итүче һәм бомбага тотучы очкычлар тик истребительләр тарафыннан  капланганда җир өсте тәмекләрен  бетерәләр. Ә бомбага тотучы истребитель ярдәм булмаганда, үзе эш итә ала, ирекле ау алып бара.


== Мисаллар ==
ССРБ/Русия

МиГ-27
Су-7Б
Су-17
МиГ-15Чит илләр

F/A-18E/F Super Hornet
F-15E Strike Eagle
Panavia Tornado
СОКО J-22 Орао


== Сылтама ==
""Fighter-bombers are dual-purpose"". Popular Science 141. Dec 1942. ISSN 0161-7370. Retrieved 25 March 2011.
Warner, G. The Bristol Blenheim: A Complete History. London: Crécy Publishing, 2nd edition 2005. ISBN 0-85979-101-7
Shaw, Robert L. (1985). Fighter combat: tactics and maneuvering ([14. Dr.] ed.). Annapolis, Md.: Naval Institute Press. pp. 346–347. ISBN 0-87021-059-9."
