title,url,content
Бавырсак,https://tt.wikipedia.org/wiki/%D0%91%D0%B0%D0%B2%D1%8B%D1%80%D1%81%D0%B0%D0%BA,"Бавырса́к (монг. Борц) — татар милли ризыгы. Камыр кисәкләрен кайнаган майда кыздырып әзерләнә.


== Әзерләү ысулы ==
Савытка йомырка сыталар, сөт салалар, май, шикәр комы, тоз, азрак чүпрә өстиләр (күп вакытта чүпрә салмыйлар да). Шул катнашманы шикәре, тозы һәм чүпрәсе эреп беткәнче яхшылап болгаталар. Аннары он кушып, токмач камырыннан йомшаграк итеп камыр басалар. Камырны 100—150 г лы кисәкләргә бүләләр дә бармак калынлыгында баусыман тәгәрәтәләр һәм урман чикләвеге кадәр итеп турыйлар. Кайнап торган майга салалар, болгата-болгата, кызарганчы пешерәләр.
Әзер бавырсакны тишекле зур чүмечтә сөзәләр, мае агып беткәч, өстенә шикәр оны сибергә була. Бавырсакны чәй янына чыгаралар. Аны катык һәм сөт белән дә ашарга була. Ул юлга алу өчен дә әйбәт.
1 кг югары сортлы онга: 10 йомырка, 130—140 г сөт, 30—35 г шикәр комы, 30 г сары май, 5 г чүпрә, тол, пешерү өчен 180—200 г май.


== Бавырлы бавырсак ==
Әче камыр куялар. Баскан вакытта пешереп ит тарткычтан чыгарган бавыр өстиләр. Камырны 1 —1,5 сәгать кабарталар. Камыр өлгергәч, кисәкләргә бүлеп, баусыман итеп тәгәрәтәләр һәм кузы чикләвегеннән кечерәк итеп турыйлар.
Әзер бавырсакны кайнап торган майда пешерәләр һәм табынга катык белән чыгаралар.
600—6S0 г югары сортлы онга: 6—8 йомырка, 150 г сөт, 30 г шикәр, 30 г сары май, 5 г чүпрә, тоз, 400 г пешкән бавыр, пешерү өчен 200—250 г май.


== Чыганаклар ==
Татар халык ашлары./Руcчадан Р.Х. Камалова,, В.Р. Шәрипова тәрҗемәсе. - Казан: Татарстан китап нәшрияты, 1987. - 318 б. 1 рәс. белән, 8 б. вкл.


== Сылтамалар ==
Бавырсак пешерү серләре


== Моны да карагыз ==
Чәкчәк"
Буза,https://tt.wikipedia.org/wiki/%D0%91%D1%83%D0%B7%D0%B0,"Буза́ — озак кайнаткан сөт төсендәге баллы куе эчемлек, ул десерт итеп бирелә һәм кунакларга карата зур хөрмәт билгесе булып санала.


== Әзерләү ысулы ==
Бузаны ваклаган солы ярмасыннан, шулай ук “Геркулес”тан һәм талканнан да әзерләргә була.
Ваклаган солы ярмасын, салкын суда югач, 10—30 минут өстен каплап җылы суда тотарга. Бүрттергән ярманы сөзеп табага яки калайга салырга да өстеннән уклау белән тәгәрәтеп изәргә. Аннан соң ярманы, чиста калайга бушатып, мичкә киптерергә куярга. Шул рәвешле эшкәртелгән ярма буза әзерләүгә ярый. Ярманы бүрттереп киптергәч, он итеп тартырга кирәк.
Зур савытка әзер солы оны, ике стакан бодай оны, кайнап торган атланмай салып барысын да бергә яхшылап болгатырга. Аннары бик кайнар су салып камыр сыман булганчы тугларга. Шуннан соң савытны, җылысы саклансын өчен, әйбәтләп ябып 30 минут тотарга да массаны кайнаган су белән сыекларга.
Апара бүлмә температурасына кадәр суынгач, изгән чүпрә, бер стакан шикәр комы өстәп әчетергә. Күпереп менгән массаны кайнаган җылы су белән тагын сыекларга, әйбәтләп болгатырга һәм нечкә иләктән сөзәргә. Иләктә калган массага су салып тагын сөзәргә, шулай да бузаны артык сыеклатырга ярамый. Иләктә калган сыгынтыны ташлыйлар. Сөзгән бузага тагын бер-ике стакан шикәр комы өстәп болгатырга да әчесен өчен җылы урынга куярга. Әчкелтем булып күперә башлагач, буза әзер була. Эчәр алдыннан теләгән кешегә бузага шикәр комы өстәргә мөмкин. Бузаны салкын урында саклыйлар.
«Геркулес»тан да бузаны шулай ук әзерлиләр.
6—7 литр буза әзерләү өчен: 1 тартма «Геркулес» яки 1 кг солы ярмасы, 100 г атланмай, 25— 30 г чүпрә, 50 г бодай оны һәм 500 г шикәр комы.


== Чыганаклар ==
Татар халык ашлары./Урысчадан Р.Х. Камалова,, В.Р. Шәрипова тәрҗемәсе. - Казан: Татарстан китап нәшрияты, 1987. - 318 б. 1 рәс. белән, 8 б. вкл."
Бәлеш,https://tt.wikipedia.org/wiki/%D0%91%D3%99%D0%BB%D0%B5%D1%88,"Бәлеш  — татар һәм башкорт уртак ашларыннан берсе, камыр тыш эченә бер яки берничә төрле ашамлык салып мичтә пешерелгән кунак ашы.
Эченә ит белән бәрәңге, ит белән дөге, кабак, алма, һ.б. нәрсә кулланыла.


== Чыганак ==
Татар теленең аңлатмалы сүзлеге (өченче томда) Казан, 1977.


== Сылтамалар ==
Минем йорт - Бәлеш."
Бөккән,https://tt.wikipedia.org/wiki/%D0%91%D3%A9%D0%BA%D0%BA%D3%99%D0%BD,"Бөккән  (шулай ук, тәкә) – татар милли ашамлыкларының берсе.
Бөккәнне төче камырдан да, әче камырдан да пешерәләр, сумсадан эрерәк итеп ясыйлар. Аның эченә үпкә-бавыр белән бәрәңге, дөге белән кабак, тары ярмасы белән ташкабак, кишер, кәбестә һ.б. салалар.
Кайбер якларда бөккәнне тәкә дип тә йөртәләр. Аның эченә бәрәңге һәм чөгендер боламыгы, борчак боткасы салалар. Тәкәнең баш-башлары очлырак була, сырлы тәкә мөгезен хәтерләтә. Бөккәнне һәм тәкәне табынга сөт, сөт өсте яисә катык белән бирәләр.


== Кишер бөккәне ==
Кишерне әйбәтләп чистартып юалар да өстенә салкын су салып пешерергә куялар. Пешкән кишерне суытып, вак кына турыйлар, шикәр комы, турап каты итеп пешергән йомырка, тоз, май өстиләр һәм, барысын бергә болгатып, бөккән эченә салалар. йомырка урынына бүрттергән дөге дә кушалар.
90 г әче камыр, 80—100 г чи кишер, 1/4 йомырка, 20—30 г бүрттергән дөге, эченә — 15 г, таба майлау өчен 3—4 г май, шикәр, тоз.


== Кабак бөккәне ==
Кабак бөккәнен гадәттә әче камырдан пешерәләр, төче камырдан да әзерләргә була.
Өлгергән каты кабакның кабыгын әрчиләр дә, вак кына турап, тоз сибеп, кул белән уалар. Кабакның суы чыга, шуңа
күрә аны иләккә салып 20—30 минут саркыталар. Аннары кабакка бүрттергән дөге яисә яхшылап юган пешмәгән тары ярмасын кушалар, бераз шикәр комы, эретеп, атланмай өстиләр, барысын бергә болгаталар да бөккән эченә салалар.
90 г камыр, 100 г кабак, 35 г бүрттергән дөге, 20—25 г пешмәгән тары ярмасы, 15 г май, шикәр, тоз.


== Кәбестә белән йомырка бөккәне ==
Бу бөккәнне әче камырдан пешерәләр. Башлы кәбестәнең тышкы яфракларын алгач, юалар да вак итеп тагаракта чабалар, тоз сибеп, кул белән уалар, суын сыгалар. Аннары кәбестәгә каты итеп пешереп вак кына тураган йомырка кушып болгаталар, эреткән май, шикәр комы өстиләр.
90 г камыр, 150 г кәбестә, 1/4 йомырка, 15 г сары май, шикәр комы, тоз.


== Үпкә-бавыр бөккәне ==
Мондый бөккән өчен эшкәртеп юган, пешекләгән йөрәк, үпкә-бавырны суган белән ит тарткычтан чыгаралар. Аннары, вак кына тураган бәрәңге кушып, тоз, борыч сибеп, әйбәтләп болгаталар һәм иләктә саркыталар.
Бөккәннең камырын болай әзерлиләр: савытка кирәк кадәр сөт яисә су салып, йомырка сыталар, бераз чәй содасы, тоз өстәп, токмач камырыннан йомшаграк итеп басалар. Камырны 90 г лы кисәкләргә бүлеп җәяләр. Җәйгән камырның яртысына алдан әзерләгән эчне салалар да икенче яртысы белән каплыйлар, кырыйларын чеметеп сырлап чыгалар, бөккәнне ярым ай рәвешендә ясыйлар. Аннары майлы табага яисә калайга тезәләр, өстенә йомырка сөртәләр һәм мичкә яки духовкага куялар.
Әзер бөккәнне табынга өстенә атланмай сибеп чыгаралар.
90 г камыр, 40 г бәрәңге, 100 г йөрәк, үпкә-бавыр, бөккәннең эченә һәм майлау өчен 20 г май, 15 г суган, тоз, борыч, өстенә сөртү өчен йомырка.


== Чыганаклар ==
Татар халык ашлары./Руcчадан Р.Х. Камалова,, В.Р. Шәрипова тәрҗемәсе. - Казан: Татарстан китап нәшрияты, 1987. - 318 б. 1 рәс. белән, 8 б. вкл."
Гөбәдия,https://tt.wikipedia.org/wiki/%D0%93%D3%A9%D0%B1%D3%99%D0%B4%D0%B8%D1%8F,"Гөбәдия - бәйрәмнәрдә әзерләнә торган катлы бәлеш. Пешкән гөбәдияне кискәч, тәме ягыннан да, төсе ягыннан да бер-берсенә туры килә торган ашамлыклар катлам-катлам булып, аермачык күренеп тора. Гөбәдиянең эченә кипкән корт, бүрттергән дөге, кыздырган суган белән ит тарткычтан чыгарган ит, ваклап тураган йомырка, йомшарткан йөзем, күрәгә, төшен алып кара җимеш яисә өрек салалар.
Гөбәдияне әче камырдан да, төче камырдан да әзерлиләр, майны күбрәк салалар. Итле гөбәдияне кайнар килеш икенче аш итеп бирәләр. Аны икеләтә юкарак итеп, эченә җиләк-җимеш салып та ясыйлар һәм чәй янына бирәләр.


== Әзерләү ысуллары ==


=== Әзерләнү ===


==== Гөбәдия эченә йомшак корт ясау ====
Кипкән кортны төеп илиләр. 500 г кортка 200 г шикәр комы, 200 г сөт, 100 г сары май өстәп, барысын бергә болгаталар да 10-15 минутка сүрән ут өстенә куеп алалар. Аннары шул боткасыман катнашманы суытып, гөбәдия эче итеп файдаланалар.


==== Валчык әзерләү ====
250 г атланмайга 500 г иләгән он, 20—30 г шикәр комы салалар да барысын бергә әйбәтләп кул белән уалар (шикәр кушмасаң да була). Уганда, май белән он бергә кушылып, валчык ясала. Гөбәдиянең (шулай ук башка бәлешләрнең дә) өстенә мичкә тыкканчы шул валчыкны сибәләр.


==== Дөге бүрттерү ====
Дөгене гөбәдия һәм башка бәлешләрнең эченә салу өчен файдаланалар. Башта дөгене чистарталар һәм, 1-2 кат салкын, берничә кат кайнар су белән югач, кайнап торган тозлы суга салып кайнаталар. Дөге таралып торсын өчен, аның суы дөгедән 6-7 тапкыр артыграк булырга тиеш. Дөге кайнаганда, аны берничә тапкыр болгаткалап алырга кирәк. Бүрткән дөгене, кайнар су белән юып, иләккә салып саркыталар. Таралып торган дөгене савытка салалар да, эреткән май өстәп, болгаталар.


==== Гөбәдиягә ит әзерләү (итле гөбәдия өчен) ====
Сыер яки сарык итен ярыларыннан һәм сеңерләреннән арындыралар да, вак кына турап, ит тарткычтан чыгаралар, аннары тоз, борыч сибеп болгаткач, кайнар майлы табага салып, болгата-болгата кыздыралар. Ит катырак булса, шулпа өстиләр. Теләгән кеше иткә майда кыз¬дырган суган куша ала.


=== Җимешле гөбәдия ===
Әзерләгән камырны майлы табага салалар. Гөбәдиянең төбе җебеп йомшармасын өчен, камыр өстенә башта — бүрттергән дөге, аннары калын итеп әзер корт, аннан соң тагын дөге салалар. Дөге өстенә 6—8 мм калынлыгында каты итеп пешереп, вак кына тураган йомырка, тагын дөге, өскә парланган йөзем, күрәгә, төше алынган кара җимеш яисә өрек салалар. Эченә бик күп итеп май сибәләр дә өстенә юка гына җәйгән камыр ябып, табадагы камыр белән чит-читләрен чеметеп ябыштыралар. Мичкә куяр алдыннан өстен майлап, валчык сибәләр. Әгәр мич артык кызу булса, гөбәдиянең өсте кызаргач, суга чылатып кәгазь ябалар. Гөбәдия 50 минут пешә. Әзер гөбәдияне өлешләргә бүлеп, табынга кайнар килеш чыгаралар.
Бер таба гөбәдиягә: 800 г камыр, 350—400 г корт, 1 —1,2 кг бүрттергән дөге, 200—300 г йөзем яисә башка җимешләр, 10 йомырка, 350—400 г атланмай яисә сары май, таба майлау өчен 50 г май.


=== Итле гөбәдия ===
Камырны табадан чыгып торырлык итеп җәяләр дә майлы табага салалар, өстен майлыйлар. Камыр өстенә (камыр корт салгач җебеп китмәсен дип) юка гына итеп — дөге, аннары — корт, аның өстенә — 2-3 мм тигезләп дөге, өстенә 6-8 мм калынлыгында ит тарткычтан чыгарган кыздырган ит салалар, иткә майда кыздырган суган кушып болгатырга мөмкин. Ит өстенә - юка гына итеп тагын бүрттергән дөге, аның өстенә вак кына тураган йомырка һәм дөге салалар. Өскә йомшарткан йөзем (күрәгә, төше алынган кара җимеш яисә өрек) салына, эченә бик күп итеп эреткән атланмай яисә сары май сибәләр.
Аннары гөбәдиянең өстенә юка гына итеп җәйгән камыр каплыйлар, кырыйларын табадагы камыр чите белән сырлап, чеметеп ябыштыралар. Гөбәдияне мичкә тыкканчы өстен майлыйлар һәм валчык сибәләр. Уртача кызулыктагы мичтә гөбәдия 40-50 минут пешә. Әзер гөбәдияне кисәкләргә бүлеп, кайнар килеш чыгаралар.
Итле гөбәдияне кортсыз гына да пешерәләр.
Уртача зурлыктагы 2,5 кг лы гөбәдиягә: 750—800 г камыр, 250—300 г әзер корт, 1 —1,1 кг бүрттергән дөге, 400—500 г кыздырган ит, 100 г кыздырган суган, 6—8 йомырка, 200 г йөзем яисә башка җиләк-җимеш, 300—350 г атланмай яки сары май, таба майлау өчен 50 г май.


=== Чүлмәктә пешкән гөбәдия ===
Бөтен нәрсәне табада пешерә торган гөбәдиягә әзерләгән кебек әзерлиләр. Аннары чүлмәк яисә чуенның эчен майлыйлар да төбенә камыр җәяләр, камырны майлагач, башта — корт, өстенә — бүрттергән дөге, ит (итне күбрәк алалар), тагын дөге, вак итеп тураган йомырка, дөге, йөзем салалар, өстенә сызыклы май сибәләр, камыр белән каплап, кызу мичкә куялар. Гөбәдия 40-50 минут пешә. Гөбәдияне тәлинкәләргә салып ашыйлар.


=== Юка гөбәдия ===
Мондый гөбәдияне чәй янына бирәләр, аны итсез, дөге, йомырка һәм йөзем белән әзерлиләр, тик кортын күбрәк салалар, җиләк-җимеш белән пешергән гөбәдиягә караганда, дөгесен бермә-бер кимрәк алалар. Шуңа күрә бу гөбәдия икеләтә диярлек юка була.


== Чыганаклар ==
Татар халык ашлары./Русчадан Р.Х. Камалова,, В.Р. Шәрипова тәрҗемәсе. - Казан: Татарстан китап нәшрияты, 1987. - 318 б. 1 рәс. белән, 8 б. вкл.
Гөбәдия рецепты


== Моны да карагыз ==
Татар милли ризыклары
Бәлеш
Кыстырган"
Дучмак,https://tt.wikipedia.org/wiki/%D0%94%D1%83%D1%87%D0%BC%D0%B0%D0%BA,"Дучма́к – татар милли ризыкларының берсе.
Дучмакны әче камырдан да, төче камырдан да пешерәләр. Эченә бәрәңге боламыгы, эремчек яки сөткә кушып туглаган йомырка салалар. Дучмак камырын сумса камырына караган да зуррак һәм юкарак җәяләр, эчен дә юкарак итеп салалар.


== Бәрәңге дучмагы ==
Әзер әче камырны 100 г лы кисәкләргә бүлеп җәяләр. Камырның кырыйларын күтәреп, 4—6 җирдән чеметеп куялар һәм, эч салгач камыр пешми калмасын өчен, коры табада яисә калайда пешереп алалар. Аннары табаны яисә калайны майлыйлар, пешереп-катырып алган камырга эч салалар, өстенә йомырка сөртәләр һәм мичкә яисә духовкага тыгалар.
Дучмакны төче камырдан әзерләгәндә камырын башта пешереп алуның кирәге юк. Дучмакның эчен бәрәңге пәрәмәченә әзерләгән кебек әзерлиләр.
100 г камыр, 150—170 г эч, 1/4 йомырка, 15 г май.


== йомырка дучмагы ==
Әзер төче камырны 100 г кисәкләргә бүләләр дә диаметрын 12—13 см итеп җәяләр. Камырның кырыйларын күтәреп, дүрт кырлы яисә алты кырлы 2 — 3 см биеклегендәге «савыт» ясап, 4 — 6 җирдән чеметеп куялар. Шул «савытлар»ны кайнар коры табага тезеп, тышын пешерү-катыру өчен мичкә тыгып алалар. Аннары, дучмак тышын майлы табага яисә калайга тезеп, эченә сөттә туглаган йомырка салалар да шунда ук мичкә тыгалар. Әзер дучмакны майлап табынга чыгаралар.
100 г камыр, 2—3 йомырка, 40 г сөт, таба майлау өчен һәм дучмак эченэ 15 г атланмай.


== Чыганаклар ==
Татар халык ашлары./Руcчадан Р.Х. Камалова,, В.Р. Шәрипова тәрҗемәсе. - Казан: Татарстан китап нәшрияты, 1987. - 318 б. 1 рәс. белән, 8 б. вкл.


== Моны да карагыз ==
Сумса"
Дүртмеш,https://tt.wikipedia.org/wiki/%D0%94%D2%AF%D1%80%D1%82%D0%BC%D0%B5%D1%88,"Дүртмеш — дүртпочмак рәвешендәге ачык бәлеш.
Дүртмешнең эченә төйгән киндер орлыгына сөт, йомырка, шикәр комы, тоз кушып яхшылап болгаткан бериш куе катнашма салалар.
Төче камыр әзерлиләр дә, 0,5 см калынлыгында җәеп, майлы табага яисә калайга салалар. Камыр өстенә тигезләп 1,5 — 2 см калынлыгында эч ягалар. Камырның кырыен дүрт яктан күтәреп, дүртпочмак рәвешендә ачык бәлеш — дүртмеш ясап чеметеп куялар.
Бәлеш өстенә чи йомырка сөртеп, кызу мичкә яисә духовкага тыгалар.
Әзер дүртмешне майлап, өлешләргә бүлеп, кайнар килеш табынга чыгаралар. Аерым савыт белән катык куярга була.
100 г камыр, 120 г эч, 1/4 йомырка, таба майлау өчен һәм дүртмеш эченә 15 г май.


== Чыганаклар ==
Татар халык ашлары./Руcчадан Р.Х. Камалова,, В.Р. Шәрипова тәрҗемәсе. - Казан: Татарстан китап нәшрияты, 1987. - 318 б. 1 рәс. белән, 8 б. вкл.


== Моны да карагыз ==
Өчпочмак"
Казылык,https://tt.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B7%D1%8B%D0%BB%D1%8B%D0%BA,"Казылык - каклаган ат яки сыер итеннән әзерләнгән татар милли ризыгы. Шулай ук башка төрки халыкларда да бар (мәсәлән, баш. Ҡаҙылыҡ, каз. Қазы). 


== Казылык әзерләү ==
Казылык әзерләү өчен яңа суйган ат яисә симез сыер итенең корсак өлешен һәм сөяксез җирен алалар (яңа суйган терлек ите тоз белән борычны яхшырак сеңдерә).
Итне ваклап турагач, күбрәк итеп тоз, кара борыч сибеп болгаталар да, ышкып тозын-борычын сеңдерәләр. Аннары итне эмальле кастрюльгә салып, тастымал белән каплыйлар һәм 15 сәгатьтән алып тәүлек ярымга кадәр салкында тоталар.
Ат яки сыер эчәген салкын суда яхшылап юалар, эчке ягын әйләндереп, лайласын кыралар һәм, өч-дүрт кат әйбәтләп югач, кире әйләндереп, эчәкнең бер башын җеп белән бәйлиләр.
Тураган әзер ит белән майны аралаштырып, эчәккә тыгызлап тутыралар. Казылык әзерләү өчен алынган итнең чама белән 30 проценты май булырга тиеш. Ит бик майлы булса, артык мае аксын өчен, эчәкне берничә җирдән энә белән тишәләр. Итне тутырып бетергәч, эчәкнең ачык башын бәйлиләр дә берничә көнгә кояшлы һәм җилле урынга эләләр. Аннары, өлгертеп җиткерү өчен, 2 — 2,5 айга салкынча караңгы урынга элеп куялар.
Әзер казылык 4—5 ай сакланырга мөмкин, аны чи килеш тә, пешереп тә ашыйлар.
Пешергәндә казылыкны бөтен килеш кастрюльгә җылы суга салып, сүрән утка куялар. Кайнап чыккач, берничә җирдән энә белән тишәләр һәм 1,5 сәгать чамасы пешерәләр. Пешкән казылыкны кайнар көе дә, суытып та ашыйлар.
Казылыкны (кайнар көе һәм салкын килеш) өстәлгә колбаса кебек үк, ләкин мае һәм формасы саклансын өчен, калынрак итеп турап куялар.


== Ат итеннән казылык (икенче ысул) ==
Симез ат итенең корсак өлешен 2 см киңлегендә, 7—8 см озынлыгында турыйлар да, тоз белән борыч сибеп, яхшылап болгаталар һәм 2—3 көнгә салкынга куялар.
Аннары итне чистарткан сыер эчәгенә тыгызлап тутыралар да, эчәкнең баш-башларын яхшылап бәйләгәч, яңадан салкынга (кышын 5—6 көнгә кар астына) куялар. Шулай әзерләгән казылыкны чормага яисә башка караңгы урынга элеп, 2 — 3 ай буена какланганчы тоталар.


== Пешкән (кайнар) казылык ==
Сыер яисә ат итенең майлы йомшак җирен алып (корсак ите әйбәтрәк) урман чикләвеге зурлыгында турыйлар яисә эре тишекле ит тарткычтан чыгаралар, тоз, борыч сибеп яхшылап болгаталар да 1,5 — 2 тәүлек салкында тоталар. Аннары иткә вак кына тураган башлы суган я сарымсак өстиләр һәм тагын болгаталар. Итне чистарткан, юган сыер эчәгенә тутыралар һәм, баш-башларын бәйләп, тозлы җылы суга салып, лавр яфрагы һәм 2—3 төймәгән кара борыч өстәп пешерәләр.
Казылыкны табынга кайнар көе бирәләр, кирәк булса, пешергәч, бөтен килеш табага салып, духовкага куеп кызартып алырга мөмкин. Сарык итеннән дә казылыкны шулай ук әзерлиләр, тик эчәкне түгәрәкләп бәйлиләр һәм пешкән казылыкны духовкада майда кыздыралар."
Калҗа,https://tt.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BB%D2%97%D0%B0,"Калҗа́ - милли ризык, аны гадәттә татар авылларында терлек суйганнан соң әзерлиләр.


== Сөякле кайнар калҗа ==
Калҗаны ат, сыер һәм сарыкның түш һәм кабырга итеннән пешерәләр.
Түш яисә кабырга итен сөяге белән бергә 75 —100 г лы кисәкләргә турыйлар, өстенә кайнар су салып кастрюль белән пешерергә куялар. Кайнап чыккач, тоз, борыч сибәләр, пешереп җиткерәләр һәм, лавр яфрагы салып, 2—3 минут кайнаталар. Әзер калҗаны тишекле чүмеч белән алып тәлинкәгә өеп чыгаралар. Ит янына гарнир итеп тозлы кыяр һәм помидор, тозлы кәбестә, маринадлаган башлы суган, горчица, керән куялар.


== Калҗа (рулет) ==
Түш һәм кабырга итен сөяктән кисеп алгач, 2 см калынлыгында калырлык итеп ярыдан һәм беркадәр маеннан арындыралар. Итнең ике ягына да тоз һәм борыч сибеп, 3 сәгать салкында тоталар. Аннары тагын тоз, борыч сибәләр, төйгән сарымсак белән яхшылап ышкыйлар һәм аз гына аш серкәсе өстиләр. Шулай әзерләнгән итне рулет рәвешендә төрәләр дә, колбаса бәйләгән шикелле бау белән бәйләп, пешәр-пешмәс кенә табада кыздыралар. Шуннан соң итне тирән савытка салып шулпа өстиләр, башлы суган белән кишер турыйлар, лавр яфрагы салалар, өстен каплап, томалап пешерәләр.
Калҗаны табынга кайнар килеш тә, салкын килеш тә, колбаса кискән кебек турап куялар.
100 г калҗа әзерләү өчен: 160 г сарык, яисә 175 г сыер яки ат ите, 20 г сарымсак, 5 г аш серкәсе, кыздыру өчен 10—15 г май, 15 әр г кишер белән суган, кирәгенчә тоз, борыч.


== Чыганаклар ==
Татар халык ашлары./Русчадан Р.Х. Камалова,, В.Р. Шәрипова тәрҗемәсе. - Казан: Татарстан китап нәшрияты, 1987. - 318 б. 1 рәс. белән, 8 б. вкл."
Карта (ризык),https://tt.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D1%82%D0%B0_(%D1%80%D0%B8%D0%B7%D1%8B%D0%BA),"Карта́ — татар милли ризыгы.


== Карта (ат картасы) ==
Атның юан эчәген — картасын яхшылап юалар да 25— 30 см озынлыгында турыйлар. Һәр кисәкне уклау яисә бармак белән эчәк өстендәге май эчтә калырлык итеп әйләндерәләр. Пешкәндә мае агып чыкмасын өчен, баш-башларын бәйлиләр. Аннары 5 — 6 минутка кайнап торган суга салып алалар һәм бераз суыталар.
Шулай эшкәртелгән эчәкләрне, тактага салып, өске юка катламын бик әйбәтләп пычак белә кыралар. Аннары тагын җылы суда юалар. Шуннан соң эчәкләрне каплап торырлык итеп кастрюльгә су салалар, тоз өстиләр дә ике сәгать пешерәләр. Пешкән картаны суыталар, 2— 3 см киңлегендә түгәрәкләп кисәләр һәм табынга горчица яисә керән белән бирәләр.


== Карта (кырык карта) ==
Кырык картаны кырып чистарталар да салкын су белән берничә кат яхшылап юалар, аннары артык эре итмичә генә турап, салкын суга кастрюльгә салалар һәм тоз өстәп пешерергә куялар. Суытып, вак кына итеп озынча турыйлар, вак тоз һәм төйгән кара борыч сибеп, тәлинкәгә тезәләр. Карта янына катык бирәләр.
Картаны башкачарак та әзерләргә мөмкин. Моның өчен аны рулет кебек төрергә дә югарыда әйтелгәнчә пешерергә, суытып, аркылыга юка гына телемләп кисәргә кирәк.
Картаны матур итеп зур тәлинкәгә тезәләр, өстен яшелчәләр һәм яшел тәмләткечләр белән бизәп, табынга чыгаралар.


== Чыганаклар ==
Татар халык ашлары./Русчадан Р.Х. Камалова,, В.Р. Шәрипова тәрҗемәсе. - Казан: Татарстан китап нәшрияты, 1987. - 318 б. 1 рәс. белән, 8 б. вкл."
