title,url,content
Sotsionika,https://tt.wikipedia.org/wiki/Sotsionika,"Sotsionika - ğämäli psixologiädäge yünäleş. Ul Litva sotsiologı Auşra Augustinaviçüte (Augusta pseudonimı astında yazılğan) gipotezasına nigezlängän. Bu gipoteza buyınça keşelär arasındağı psixologik täñgällek, alarnıñ nindi psixologik törgä qarawına bäyle. Augusta tör-ara mönäsäbätlär modelen  Şweytsariä psixologı Karl Yung taswirlawınnan çığıp tözegän. 
Sotsionikanın köçle yağı - anıñ belän köndäş bulırday başqa yünäleşneñ bulmawında. Psixologiädä älege başqa berkemneñ dä psixologik täñgällek teoriäsen täqdim itkäne yuq. Şul uq waqıtta, sotsionika artıq küp küreneşlärne Karl Yung psixologiäse qısalarında anlatırğa tırışa, şul isäptän, anda fänni elementlardan tış, fänni bulmağannarı da küp.


== Päräwäzdä ==
[1]"
Агрономия,https://tt.wikipedia.org/wiki/%D0%90%D0%B3%D1%80%D0%BE%D0%BD%D0%BE%D0%BC%D0%B8%D1%8F,"Агрономия (грек. agros - кыр, nomos - канун) — гөмбәләр һәм үсемлекләр җитештерү һәм җитештерү поцессында барлыкка килгән күренешләрне өйрәнүче авыл хуҗалыгы фәне.

Бүлечәләре: җир эшкәртү,  агрохимия, агрофизика, үсемлекчелек, селекция, орлыкчылык, фитопатология һ.б. Агрономия нигезен ботаника, үсемлекләр физиологиясе, генетика, биохимия, микробиология, туфракчылык кебек фәннәр тәшкил итә.


== Шулай ук карагыз ==


== Әдәбият ==
Агрономическая помощь в России. СПб: Издание Деп. земледелия, 1914.


== Сылтамалар ==
Сүзлек(рус.)"
Акционерлар җәмгыятьләре‎,https://tt.wikipedia.org/wiki/%D0%AF%D0%B4%D0%B5%D1%80%D0%BD%D3%99,"Ядернә — (рус. Ядрин, тау мари телендә Йӓдӹрнӓ, болын мари телендә Ядырна, чуаш. Етĕрне) — Чуашиянең төньяк-көнбатышында урнашкан шәһәр (1781 елдан), Ядернә районының административ үзәге.
Халык саны — 9 614 кеше (2010).


== География ==
Шәһәр Сыры елганың ярында, Чабаксардан 77 километр ераклыкта урнаша. Шәһәр янында  М7 «Идел» (Мәскәү — Уфа) мәгистрәле уза. Иң якындагы тимер юл станциясе — Шөмерлә (59 км).


== Тарих ==
Ядернә 1590 елда ниегзләнә.
Халык этимология буенча, «Ядрин» исеме «ядро» (ядрә) сүзеннән чыккан, ләкин бу версия дөрес түгел. Хәзерге этимология шәһәрнең исемне Етĕрне/Едьрне (шәһәр барлыкка килгән җирнең хуҗасы) исеменнән чыккан, яки Етерне чуаш авылы белән (бигрәк ихтимал версиясе) бәйли.
Ядернәнең беренче яшәүчеләр тупчылар, укчылар һәм башка хәрби хезмәткәрләре булган.
1781 елда Ядернә бер үк исемдәге өязенең үзәге була һәм шәһәр статусын ала.
1791 елда кече (1804 елдан — өяз училищесы) халык училищесы ачыла, 1817 елда училище каршында китапханә ачыла.
1927 елдан — Ядернә районының административ үзәге.


== Халык ==
Милли состав: чуашлар — 66,6%, руслар — 31,2%.


== Икътисад ==
Акционерлар җәмгыятьләре:""Ядринский промкомбинат"", ""Ядринский пищекомбинат"", ""Ядринмолоко"". Спирт заводы, ит эшкәртү предприятиесе, машзавод.
Ядернә янында Чуаш ат заводы урнаша.
Балчык чыганаклары бар.


== Шәхесләр ==
Глеб Абакумов (1930), галим.


== Искәрмәләр ==


== Тышкы сылтамалар ==
[1]
http://gov.cap.ru/main.asp?govid=78
Ядрин старше и его название не связано с ядрами"
Алюминий композит панелләре,https://tt.wikipedia.org/wiki/%D0%90%D0%BB%D1%8E%D0%BC%D0%B8%D0%BD%D0%B8%D0%B9_%D0%BA%D0%BE%D0%BC%D0%BF%D0%BE%D0%B7%D0%B8%D1%82_%D0%BF%D0%B0%D0%BD%D0%B5%D0%BB%D0%BB%D3%99%D1%80%D0%B5,"Алюминий композит панелләре – каплый торган композит төзелеш материалы. Панельләр калынлыгы 0,5 мм кадәр ике алдан буялган алюминий табагыннан һәм алар арасындагы урта катлам - полиолефин нигезендәге полимер композициядән торалар.
Русяидә сатылган фасад алюминий композит панелләре бәясе 1150 сум/м2 - 2500 сум/м2 тәшкил итә."
Архитектура,https://tt.wikipedia.org/wiki/%D0%90%D1%80%D1%85%D0%B8%D1%82%D0%B5%D0%BA%D1%82%D1%83%D1%80%D0%B0,"Архитекту́ра яки мигъмарият (лат. architectura, бор. грек. αρχι — «баш, өлкән» һәм τέκτων — «төзүче, балта остасы» сүзләреннән) — кешеләрнең тормышына һәм эшчәнлегенә кирәкле биналарны, башка корылмаларны, заманча техник мөмкинлекләргә һәм җәмгыятьнең эстетик карашларына нигезләнеп, проектлаштыру һәм төзү осталыгы.
Биналарның һәм корылмаларның тышкы кыяфәте шулай ук архитектура дип атала. Шуның өстенә биналарны һәм корылмаларны җыйма рәвештә архитектура дип атыйлар.


== Архитектура гыйлеме ==
Архитектураны өйрәнүче иҗтимагый, техник һәм махсус фәннәр комплексы. Төп тармаклары: архитектура, шәһәр төзелеше теориясе һәм тарихы, архитектура истәлекләрен реставрацияләү һәм реконструкцияләү, ландшафтлар архитектурасы, архитектура иҗаты методологиясе, архитектура тәнкыйте. Архитектура гыйлеменең фән буларак барлыкка килүен галимнәр Борынгы Рим архитекторы һәм инженеры Витрувийның «Архитектура турында ун китап» дигән трактаты (б.э.к. 1 йөз) белән бәйлиләр, анда шәһәр төзелеше, инженер-техник һәм бизәлеш мәсьәләләре бәян ителә. Архитектура гыйлеме үсешендә Л. Альбертиның «Биналар төзү турында» (1485), А. Палладионың «Архитектура турында дүрт китап» (1570), Д. Виньоланың «Архитектурада биш ордер кагыйдәсе» (1562) дигән трактатлары мөһим роль уйный. 18-19 йөзләрдә архитектура фәне үсеше нигездә архитектура (ордер) формалары теориясен эшләү, дөнья архитектурасы истәлекләрен ачу һәм өйрәнү юнәлешендә бара. Моңа күренекле француз һәм немец галимнәренең (И. Винкельман, Г. Шлиман, Ф. Майер, К. Шинкель, Виолле ле Дюк, О. Шуази һ.б.) археология һәм реставрация өлкәсендәге эшчәнлекләре сәбәп була. Нәтиҗәдә дөнья халыкларына Троя, Микен, Помпеи, Петра, Персепольдәге мәдәни истәлекләр белән танышу мөмкинлеге ачыла. Бу истәлекләрнең тарихын һәм архитектурасын тирәнтен өйрәнүгә, төрле төбәкләр һәм дәверләрнең архитектурасы арасындагы үзара йогынтыларны һәм багланышларны тикшерүгә этәргеч бирә. Бөтендөнья архитектурасы тарихын өйрәнүгә нигез салына. 20 йөздә тикшеренүләрне Л. Беневоло, З. Гидион, Г. Зитте, М. Майер, Н. Певзнер, М. Рагон һ.б. дәвам иттерә. Тикшеренүчеләр, архитектура һәм шәһәр төзелеше композицияләре мәсьәләләреннән тыш, ландшафтка бәйле, техноген, экологик һ.б. аспектларның теоретик проблемаларына да игътибар итәләр.


== Шулай ук кара ==
Архитектура стильләре


== Искәрмәләр =="
Архитектура ордеры,https://tt.wikipedia.org/wiki/%D0%90%D1%80%D1%85%D0%B8%D1%82%D0%B5%D0%BA%D1%82%D1%83%D1%80%D0%B0_%D0%BE%D1%80%D0%B4%D0%B5%D1%80%D1%8B,"Архитектура ордеры (лат. ordo — төзелеш, тәртип) — архитектура композициясе төре.
Багана, пилястр һәм ятма антаблементлар тора.
Биш классик ордерлар аерыла: 

дорический (Грецияла туды)
ионический (Грецияла туды)
коринфский (Грецияла туды)
тосканский - Римда туды.
композитный — Римда туды.Коринфский ордеры Грециядә күп кулланылмаган, Римда таралыш тапкан.
Ренессанс, барокко, классицизм архитектура стилләрдә ордерлар кулланыла."
Архитектура стиле,https://tt.wikipedia.org/wiki/%D0%90%D1%80%D1%85%D0%B8%D1%82%D0%B5%D0%BA%D1%82%D1%83%D1%80%D0%B0_%D1%81%D1%82%D0%B8%D0%BB%D0%B5,"Архитектура стиле — мигъмариятнең үзенчәлеге, аерым бинаны яки архитектура ансамблен тасвирлаучы сәнгатьчә бизәү чараларының, алымнарның тотрыклы бөтенлеге; бу төймәлекне аңлатмалы билгеләр системасы. Архитектура стиле билгеле бер чорның мәдәниятенә хас алымнар һәм стильләр нигезендә барлыкка килә.


=== Иң билгеле архитектура стилләре (аурупа архитектурасы буенча) ===
Борынгы мигъмарият (Гыйбәдәтханә мигъмарияте)
Антик мигъмарият. Безнен эрага кадәр VIII гасыр — V гасыр
Роман стиле. X—XII гасырлар
Готика. XII—XV гасырлар
Ренессанс. XV—XVII гасырлар
Барокко. XVI—XVIII гасырлар
Рококо. XVIII—XVIII гасырлар
Классицизм, ампир, неогрек. XVIII—XIX гасырлар
Эклектика. 1830-1890 еллар
Модерн. 1890-1910 еллар
Модернизм. 1900-1980 еллар
Экспрессионизм. 1920 еллар
Футуризм. 1910 - 1930 еллар
Рационализм
Конструктивизм. 1920-1930 еллар
Постмодернизм. 1950 еллардан
Хай-тек. 1970 еллардан
Деконструктивизм. 1980 нчы еллардан


== Стилләр ==


== Шулай ук карагыз ==
Татар архитектурасы"
Бакча,https://tt.wikipedia.org/wiki/%D0%91%D0%B0%D0%BA%D1%87%D0%B0,"Бакча (фар. باغچه) — кеше тарафыннан утыртылган җимеш агачлары һәм куаклыклары булган мәйдан. Шулай ук бакчада декоратив куаклар, чәчәкләр булырга мөмкин.
Бакчалар төрле төрдә була алалар:

Ботаник бакча
Кышкы бакча
Җиләк-җимеш бакчасы
җимеш бакчасы
Япон бакчасы
Яшелчә бакчасыАвыл хуҗалыгының бакчалар белән шөгыльләнүче өлкәсен бакчачылык дип атыйлар.


== Шулай ук карагыз ==
Борынгы Рим бакчалары
Ватикан бакчалары


== Сылтама ==
История садов Ближнего Востока (инглизчә)"
Бакчачылык,https://tt.wikipedia.org/wiki/%D0%91%D0%B0%D0%BA%D1%87%D0%B0%D1%87%D1%8B%D0%BB%D1%8B%D0%BA,"Бакчачылык — үсемлекчелекнең җиләк-җимеш яки өй гөлләре үстерү белән шөгелләнүче тармагы.
Бакчачылыкның бер юнәлеше булып өй шартларында үсемлекләр үстерү эше - бүлмә бакчачылыгы тора.
Матур чәчәк атучы гөлләр үстерү- чәчәкчелек дип атала.
Җимешчелек - җиләк-җимеш агачлары, куаклары үстерү белән шөгелләнүче бакчачылык тармагы. Монда алмагач, армут, слива, карлыган, җир җиләге һ.б. үсемлекләр керә.


== Моны да карагыз ==
Бакча


== Ссылтамалар ==
Татар энциклопедиясе
Margaret Willes, The Making of the English Gardener: Plants, books and inspiration 1560-1660 (New Haven (CT), Yale UP, 2011).
Jeremy Naydler, Gardening as a Sacred Art (London, Floris Books, 2012).
National Gardening Association (USA)
Eco friendly Gardening"
Буа (корылма),https://tt.wikipedia.org/wiki/%D0%91%D1%83%D0%B0_(%D0%BA%D0%BE%D1%80%D1%8B%D0%BB%D0%BC%D0%B0),"Буа (Казан артындагыча — бөя) — су кимәлен күтәрү өчен агымны туктата торган гидротехник корылма. Буа буылгач, сусаклагыч барлыкка килә.
Буалар кешеләргә су һәм җир ресурсларын сакларга ярдәм итә. Кирәкле урында төзелгән буа су басулардан коткара. Сусаклагычлар кешеләрне тормыш-көнкүрештә тотар һәм эчәр өчен су белән тәэмин итәләр. Корылык килгәндә сусаклагычлар ярдәмендә басулар сугарыла. Кешеләр борын заманда буалар өстенә тегермәннәр корганнар. Биек буалар корып, зур тизлек белән төшүче су электр генераторларны эшләтә торган торган турбиналарны әйләндерә (гидроэлектростанция). 


== Су тегермәне өчен буа ==
Тартмалы су куласалары (тәгәрмәчләре) өчен елгада буа (плотина) төзелү беренче шарт булып тора. Борынгы бабаларыбыз буа төзүне очлаган бүрәнәләрдән субайлар сугудан башлаганнар. Кул көче ярдәмендә субайлар сугу тәртибен язучы Мөхәммәт Мәһдиев «Мирас» журналының 1993 ел №3 санында “Уйсу болыннар бишеге” язмасында төгәл тасвирлаган. Буа төзү өчен элек чыбык-чабык һәм кызыл балчык, бүрәнәләр, сайгаклар һәм таш куллана торган булганнар. Цемент куллану шактый соңрак кергән. Буада арыклар булырга тиеш. Арыклар ясау өчен бүрәнәләр һәм таза сайгаклар кулланганнар. Елганың үз агымы юнәлешендәге төп арык буадагы артык суны җибәрү өчен кирәк. Буаның читендәрәк төзелгән арыктан су агымы улаклар ярдәмендә тартмалы су куласасына (тәгәрмәченә) килеп керә һәм аны әйләндерә башлый. Арыктан керүче суның күләмен тегермәнче махсус затвор (ябу җайланмасы) белән көйләгән. Затворны чыгыр ярдәмендә күтәргәч, улакка керүче су күләме, шул исәптән тегермәннең эшләү куәте дә арткан.
Буалар өчен су ташлагычның булуы мөһим. Су ташлагыч – ул сусаклагычтан әкренләп су төшерүгә көйләнгән канал. Әгәр артык су ташланмаса, сусаклагыч тула һәм ярлардан чыга, әйләнә-тирәне баса. 


== Нидерланд буалары ==
Нидерланд халкы элек-электән диңгездән түбән җирләрдә ясалма түбәләр (terpen) ясый торган булган. Алар шунда вакытлыча яшәгәннәр, яки терлекләр асраганнар. Урта гасырларда алар диңгездән түбән кимәлдә яткан уңдырышлы туфракны эшкәртә башлаганнар. Су басмасын өчен ул кишәрлекләрне балчык өемнәре белән уратып алалар, буалар төзиләр. Артык су төрле гидротехник чаралар белән диңгезгә куыла. Урыс телендә дамба, шлюз шикелле сүзләр Нидерланд теленнән кергән.
XIX гасыр ахырында Нидерландта җәмгысе 3 500 км буа исәпләнгән. Шуларның 1 430 км – елга буалары, 1017 км – күлләр буендагы, 430 км – диңгез буе буалары. 


== Искәрмәләр ==


== Чыганаклар ==
Что такое плотина? (рус.)"
