Кайли Миноуг
Шакира
Билл Гейтс
Александр Васильченко
Ян Винецкий
Дамир Йосыпов
Әнвәр Кәримов (1921)
Кузьма Новоселов
Григорий Павлов (1920)
Румен Радев
Әхмәтгәрәй Рамазанов
Михаил Симонов (1913)
Николай Столяров
Морат Аджи
Албания әдәбияты
Светлана Аллилуева
Владимир Вафин
Наил Вәлиев (1949)
Габдулла Буби
Гобәйдулла Буби
Жюль Сюпервьель
Нур Зарипов
Иван Куратов
Иван Тургенев
Лакшми Прасад Девкота
Мимоза Әхмәти
Николай Носов
Рахманбирде Мәдәзимов
Константин Симонов
Зөфәр Фәтхетдинов
Галим Хисамов
Нәҗип Хәлфин
Нәҗип Хәмитов (язучы)
Михаил Чванов
Калып:Чуаш АССР язучылар берлеге рәисләре
Камил Җиһаншин
Теләүбиргән Җумаморатов
Әкрам Вәли
Наил Гаетбай
Гали Зөлкәрнәев
Муса Гали
Салават Галин
Тамара Ганиева
Рәми Гарипов
Таңчулпан Гарипова
Гариф Гомәр
Хәким Гыйләҗев
Агиш Гыйрфан
Әмир Гәрәев
Йосыф Гәрәй
Баязит Дим
Гобәй Дәүләтшин
Һәдия Дәүләтшина
Гали Ибраһимов (1919)
Габделхак Игебаев
Мирас Иделбаев
Вазыйх Исхаков
Фәрит Исәнгулов
Ринат Камал
Таңсылу Карамыш
Низам Карипов
Али Карнай
Җәлил Киекбаев
Тимергали Килмөхәммәтов
Ирек Кинҗәбулатов
Кәтибә Кинҗәбулатова
Якуп Колмый
Салават Кәримов
Марсель Сәлимов
Әсгать Мирзаһитов
Риф Мифтахов
Галим Хисамов
Рамил Хәкимов
Әхияр Хәкимов
Гайсә Хөсәенов
Әмир Чаныш
Рәшит Шәкүр
Сабир Шәрипов
Газим Шәфыйков
Хисмәт Юлдашев
Гөлфия Юнысова
Айсылу Ягафәрова
Мәүлит Ямалетдин
Шакир Янбаев
Төхфәт Янәби
Әмир Әминов
Гайнан Әмири
Әнүр Вахитов
Фәнил Әсәнов
Вафа Әхмәдиев
Әсхәл Әхмәт-Хуҗа
Ким Әхмәтҗанов
Рамазан Өметбаев
Артур Туктаголов
Фидан Гафаров
Рәсүл Карабулатов
Сөләйман Абдуллин
Гали Хәмзин
Радик Юлъякшин
Гомәр Әбделмәнов
